total_spots,unique_dx_stations,unique_spotters,bands,modes,date
1025,559,422,"{'10m': 360, '20m': 319, '40m': 132, '15m': 107, '30m': 39, '12m': 28, '17m': 28, '6m': 12}","{'USB': 34, 'CW': 32, 'LSB': 8, 'RTTY': 3, 'SSB': 3}",2025-10-17
13213,4077,2553,"{'20m': 3524, '40m': 3270, '10m': 2726, '15m': 2484, '17m': 415, '12m': 385, '6m': 239, '30m': 170}","{'RTTY': 2287, 'CW': 1107, 'USB': 560, 'LSB': 346, 'SSB': 186, 'PSK': 1}",2025-10-18
11062,3311,2237,"{'20m': 3294, '40m': 3097, '15m': 1931, '10m': 1518, '17m': 411, '6m': 338, '12m': 307, '30m': 166}","{'RTTY': 1782, 'CW': 1025, 'USB': 492, 'LSB': 254, 'SSB': 127, 'PSK': 3}",2025-10-19
5297,1808,1865,"{'20m': 1446, '10m': 1179, '40m': 996, '15m': 471, '12m': 439, '17m': 395, '6m': 239, '30m': 132}","{'CW': 367, 'USB': 205, 'SSB': 73, 'LSB': 55, 'RTTY': 16, 'PSK': 2}",2025-10-20
5607,2034,1860,"{'10m': 1798, '20m': 1204, '40m': 861, '15m': 642, '17m': 383, '12m': 285, '6m': 246, '30m': 188}","{'USB': 239, 'CW': 236, 'SSB': 86, 'LSB': 72, 'RTTY': 17, 'PSK': 1}",2025-10-21
5866,2110,1916,"{'10m': 1740, '20m': 1330, '40m': 1126, '15m': 780, '12m': 302, '17m': 244, '6m': 208, '30m': 136}","{'CW': 773, 'USB': 199, 'SSB': 54, 'LSB': 52, 'RTTY': 12, 'PSK': 4}",2025-10-22
4805,1605,1711,"{'10m': 1770, '20m': 1034, '15m': 822, '40m': 549, '12m': 264, '17m': 138, '6m': 120, '30m': 108}","{'USB': 283, 'CW': 191, 'SSB': 55, 'LSB': 52, 'RTTY': 16, 'PSK': 1}",2025-10-23
6554,2248,2242,"{'10m': 2134, '20m': 1561, '40m': 1182, '15m': 838, '12m': 329, '17m': 182, '6m': 179, '30m': 149}","{'USB': 433, 'CW': 183, 'SSB': 101, 'LSB': 94, 'RTTY': 19, 'PSK': 3}",2025-10-24
31313,3003,2035,"{'10m': 12873, '15m': 7976, '20m': 6668, '40m': 3464, '12m': 112, '17m': 94, '6m': 81, '30m': 45}","{'USB': 11058, 'LSB': 1442, 'SSB': 1002, 'CW': 46}",2025-10-25
28322,2868,1999,"{'10m': 10802, '15m': 8052, '20m': 6013, '40m': 3145, '17m': 99, '12m': 97, '30m': 76, '6m': 38}","{'USB': 8073, 'LSB': 1342, 'SSB': 1080, 'CW': 46}",2025-10-26
1637,850,648,"{'10m': 511, '20m': 407, '15m': 235, '40m': 173, '12m': 121, '17m': 103, '30m': 53, '6m': 34}","{'CW': 99, 'USB': 68, 'SSB': 9, 'RTTY': 4, 'LSB': 1}",2025-10-27
1853,978,709,"{'10m': 547, '20m': 443, '15m': 246, '12m': 197, '40m': 158, '17m': 155, '30m': 72, '6m': 35}","{'CW': 58, 'USB': 34, 'SSB': 13, 'LSB': 4}",2025-10-28
1926,949,646,"{'20m': 542, '10m': 390, '40m': 313, '15m': 255, '12m': 166, '17m': 122, '30m': 76, '6m': 62}","{'CW': 514, 'USB': 30, 'SSB': 8, 'PSK': 3, 'LSB': 1}",2025-10-29
1615,779,596,"{'20m': 404, '10m': 360, '40m': 328, '15m': 155, '17m': 154, '30m': 74, '12m': 71, '6m': 69}","{'CW': 295, 'USB': 31, 'LSB': 4, 'SSB': 2}",2025-10-30
